Co ID,Company,Site (FB/Tw/LI),Job/Career (Yes/No),FB Tab,URL,Start Year,Notes
49,Children's Healthcare of Atlanta,FB,0,,https://www.facebook.com/ChildrensHealthcareofAtlanta?fref=ts,, 
49,Children's Healthcare of Atlanta,LI,1,,https://www.linkedin.com/company/9553?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-3-6%2CtarId%3A1427851987792%2Ctas%3ACHILDREN%27S+HEALTHCARE+,, 
49,Children's Healthcare of Atlanta,TW,0,,https://twitter.com/childrensatl,2010, 
50,World Wide Technology,LI,1,,https://www.linkedin.com/company/9089?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427852021654%2Ctas%3AWORLD+WIDE+TECHNOLOGY,, 
50,World Wide Technology,FB,0,,https://www.facebook.com/pages/World-Wide-Technology-Inc/75577218799?fref=ts,, 
50,World Wide Technology,TW,0,,https://twitter.com/wwt_inc,2011, 
51,Allianz Life Insurance,TW,1,,https://twitter.com/AllianzCareers,2010, 
51,Allianz Life Insurance,LI,1,,https://www.linkedin.com/company/2979?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427852119404%2Ctas%3AALLIANZ+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427852119404%2Ctas%3AALLIANZ+,, 
52,Autodesk,LI,1,,https://www.linkedin.com/company/1879?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427852142939%2Ctas%3AAUTODESK,, 
52,Autodesk,TW,1,,https://twitter.com/Autodeskers,2011, 
52,Autodesk,FB,1,,https://www.facebook.com/AutodeskCareers?fref=ts,, 
53,Methodist Hospital System,FB,0,,https://www.facebook.com/JobsatMethodistHealthSystem,, 
53,Methodist Hospital System,TW,1,,https://twitter.com/hmethodistjobs,2013, 
53,Methodist Hospital System,LI,0,,https://www.linkedin.com/company/27573,, 
54,Baker Donelson,LI,1,,https://www.linkedin.com/company/18418?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427852292873%2Ctas%3ABAKER+DONELSON,, 
54,Baker Donelson,FB,0,,https://www.facebook.com/BakerDonelson,, 
54,Baker Donelson,TW,0,,https://twitter.com/Baker_Donelson,2009, 
55,Men's Wearhouse,FB,0,,https://www.facebook.com/MensWearhouse?fref=ts,, 
55,Men's Wearhouse,TW,0,,https://twitter.com/menswearhouse,2009, 
55,Men's Wearhouse,LI,1,,https://www.linkedin.com/company/410499?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427854981047%2Ctas%3Amen%27s+wearhouse,, 
56,Scripps Health,LI,1,,https://www.linkedin.com/company/14822?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427855016497%2Ctas%3Ascripps+health+,, 
56,Scripps Health,TW,1,,https://twitter.com/EWScrippsJobs,2013, 
56,Scripps Health,FB,0,1,https://www.facebook.com/scrippshealth?fref=ts,, 
57,Marriott International,FB,1,,https://www.facebook.com/marriottjobsandcareers,, 
57,Marriott International,TW,1,,https://twitter.com/MarriottCareers,2010, 
57,Marriott International,LI,1,,https://www.linkedin.com/company/2311?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-2%2CtarId%3A1427855498648%2Ctas%3AMARRIOTT+INTERNATIONAL+,, 
