liPageId,companyString,geoSpecial,givenUrl,isGroup,job,liTab,trimmedUrl,affiliatedCompaniesLinks,affiliatedCompaniesNames,associatedGroupsLinks,associatedGroupsNames,careers,companySize,description,followers,founded,hq,industry,jobs,specialties,stats,title,type,website,fetchDone,fetchErrorMessage,parentCompanyLink
21,"Kimpton Hotels & Restaurants",,https://www.linkedin.com/company/15034?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388847209%2Ctas%3AKIMPTON+HOTE,0,0,0,https://www.linkedin.com/company/15034,,,,,NULL,"5001-10,000 employees","ABBREVIn 1981, Bill Kimpton pioneered the boutique hotel concept in the United States. Today, Kimpton is renowned for making travelers feel genuinely cared for through thoughtful perks and amenities, bold, playful design and a sincerely personal style ...","31,084 followers",1981,"222 Kearny Street Suite 200 San Francisco, CA 94108 United States",Hospitality,NULL,NULL,NULL,"Kimpton Hotels & Restaurants","Privately Held",http://www.kimptonhotels.com,1,NULL,NULL
22,"JM Family Enterprises",,https://www.linkedin.com/company/164539?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388969777%2Ctas%3AJM+FAMILY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388969777%2Ctas%3AJM+FAMILY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388969777%2Ctas%3AJM+FAMILY+,0,0,0,https://www.linkedin.com/company/164539,,,,,Careers,"1001-5000 employees","ABBREVFounded in 1968 by automotive legend Jim Moran, JM Family Enterprises, Inc. is a diversified automotive company ranked No. 21 on Forbes’ list of America’s largest private companies. It is also consistently ranked by FORTUNE® as one of the “100 Be...","14,610 followers",NULL,"100 Jim Moran Blvd Deerfield Beach, Florida 33442 United States",Automotive,NULL,Automotive,NULL,"JM Family Enterprises, Inc.","Privately Held",http://www.jmfamily.com,1,NULL,NULL
23,"Chesapeake Energy",,https://www.linkedin.com/groups?gid=2744383&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A1-1-1%2CtarId%3A1427770499217%2Ctas%3ACHESAPEAKE+ENERGY+CAREE,1,0,0,https://www.linkedin.com/groups,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
24,"Chesapeake Energy",,https://www.linkedin.com/company/163009?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A163009%2Cidx%3A4-1-8%2CtarId%3A1446048198838%2Ctas%3Achesapeake%20en,0,0,0,https://www.linkedin.com/company/163009,,,,,NULL,"1001-5000 employees","ABBREV​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​Chesapeake Energy Corporation (NYSE:CHK) is the second-largest producer of natural gas and the 14th largest producer of ...","84,410 followers",1989,"6100 N Western Ave Oklahoma City, OK 73118 United States","Oil & Energy",NULL,"Oil, Natural Gas Liquids, Natural Gas, Exploration, Drilling, Shale, Oil",NULL,"Chesapeake Energy","Public Company",http://chk.com,1,"ABBREVNoSuchElementException exception : no such element
  (Session info: chrome=50.0.2661.94)
  (Driver info: chromedriver=2.16.333243 (0bfa1d3575fc1044244f21ddb82bf870944ef961),platform=Windows NT 6.1 SP1 x86_64) (WARNING: The server did not provide ...",NULL
25,Intuit,,https://www.linkedin.com/groups/Intuit-Careers-2435394?gid=2435394&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A1-1-1%2CtarId%3A1427770558028%2Ctas%3AINTUIT+CAREER,1,0,0,https://www.linkedin.com/groups/Intuit-Careers-2435394,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
26,Intuit,,https://www.linkedin.com/company/1666?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1666%2Cidx%3A4-1-11%2CtarId%3A1446048266129%2Ctas%3Aintuit,0,0,0,https://www.linkedin.com/company/1666,,,,,Careers,"5001-10,000 employees","ABBREVIntuit has driven its expansion strategy from out-of-the-box software to connected services with almost 65 percent of revenue and a five-year SaaS compound annual growth rate of 27 percent. We started small in 1983 with Quicken personal finance s...","112,246 followers",1983,"2632 Marine Way Mountain View, CA 94043 United States","Computer Software",NULL,"Intuit solves unmet needs that customers would never have dreamed possible. Whether in the cloud (SaaS/PaaS), mobile, or data, we bring real-world solutions that change the way business is done around the world.",NULL,Intuit,"Public Company",http://www.intuit.com/,1,"ABBREVNoSuchElementException exception : no such element
  (Session info: chrome=50.0.2661.94)
  (Driver info: chromedriver=2.16.333243 (0bfa1d3575fc1044244f21ddb82bf870944ef961),platform=Windows NT 6.1 SP1 x86_64) (WARNING: The server did not provide ...",NULL
27,USAA,,https://www.linkedin.com/company/4501?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770821480%2Ctas%3AUSAA+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770821480%2Ctas%3AUSAA+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770821480%2Ctas%3AUSAA+,0,0,0,https://www.linkedin.com/company/4501,,,,,Careers,"10,001+ employees","ABBREVUSAA began in 1922, when 25 Army officers agreed to insure each other's vehicles when no one else would. Today we follow the same military values our founders prized: service, loyalty, honesty and integrity. We draw upon our unique understanding ...","103,888 followers",1922,"USAA 9800 Fredericksburg Rd., San Antonio Texas United States","Financial Services",NULL,"We Know What It Means to Serve",NULL,USAA,"Privately Held",http://www.usaa.com,1,NULL,NULL
28,"Robert W. Baird",,https://www.linkedin.com/company/6983?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770852481%2Ctas%3AROBERT+W.+BAIRD+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770852481%2Ctas%3AROBERT+W.+BAIRD+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770852481%2Ctas%3AROBERT+W.+BAIRD+,0,0,0,https://www.linkedin.com/company/6983,,,,,Careers,"1001-5000 employees","ABBREVBaird is an employee-owned, international wealth management, capital markets, private equity and asset management firm with offices in the United States, Europe and Asia. Established in 1919, Baird has more than $145 billion in client assets and ...","21,850 followers",1919,"777 East Wisconsin Avenue Milwaukee, WI 53233 United States","Financial Services",NULL,"Wealth management, Capital markets, Asset management, Private equity, Investment banking, Institutional sales and trading, Public finance",NULL,Baird,"Privately Held",http://www.rwbaird.com,1,NULL,NULL
29,"Container Store",,https://www.linkedin.com/company/18062?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427771019615%2Ctas%3ACONTAINER+STORE+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427771019615%2Ctas%3ACONTAINER+STORE+,0,0,0,https://www.linkedin.com/company/18062,,,,,Careers,"5001-10,000 employees","ABBREVFounded in 1978 and based in Coppell, Texas, The Container Store is the nation’s original and leading retailer of storage and organization products, offering more than 10,000 innovative and multifunctional solutions designed to simplify customers...","19,657 followers",1978,NULL,Retail,NULL,NULL,NULL,"The Container Store","Public Company",http://www.containerstore.com,1,NULL,NULL
30,Qualcomm,,https://www.linkedin.com/company/2017?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427843450363%2Ctas%3AQUALCOMM+CA&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427843450363%2Ctas%3AQUALCOMM+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427843450363%2Ctas%3AQUALCOMM+,0,0,0,https://www.linkedin.com/company/2017,,,,,Careers,"10,001+ employees","ABBREVBillions, maybe trillions of times a day… That’s how often people around the world touch something made better by Qualcomm. It could be the smartphone in your pocket, the tablet on your coffee table, that wireless modem in your briefcase… it coul...","241,473 followers",1985,NULL,Wireless,NULL,"Semiconductors, Wireless, LTE, Mobile, Networking, Wi-Fi, Small Cells, Wireless Health, Wireless Power, Wireless Electric Vehicle Charging, Augmented Reality, Display Technology, Location Services",NULL,Qualcomm,"Public Company",https://www.qualcomm.com/,1,NULL,NULL
