Company Name,twitteruserid,id,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 favoriteCount,2008 favoriteCount,2009 favoriteCount,2010 favoriteCount,2011 favoriteCount,2012 favoriteCount,2013 favoriteCount,2014 favoriteCount,2015 favoriteCount,2016 favoriteCount,2007 retweetCount,2008 retweetCount,2009 retweetCount,2010 retweetCount,2011 retweetCount,2012 retweetCount,2013 retweetCount,2014 retweetCount,2015 retweetCount,2016 retweetCount,2007 isReply,2008 isReply,2009 isReply,2010 isReply,2011 isReply,2012 isReply,2013 isReply,2014 isReply,2015 isReply,2016 isReply,2007 isRetweet,2008 isRetweet,2009 isRetweet,2010 isRetweet,2011 isRetweet,2012 isRetweet,2013 isRetweet,2014 isRetweet,2015 isRetweet,2016 isRetweet,2007 isStatusQuote,2008 isStatusQuote,2009 isStatusQuote,2010 isStatusQuote,2011 isStatusQuote,2012 isStatusQuote,2013 isStatusQuote,2014 isStatusQuote,2015 isStatusQuote,2016 isStatusQuote,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCoords,2008 hasCoords,2009 hasCoords,2010 hasCoords,2011 hasCoords,2012 hasCoords,2013 hasCoords,2014 hasCoords,2015 hasCoords,2016 hasCoords,2007 possiblySensitive,2008 possiblySensitive,2009 possiblySensitive,2010 possiblySensitive,2011 possiblySensitive,2012 possiblySensitive,2013 possiblySensitive,2014 possiblySensitive,2015 possiblySensitive,2016 possiblySensitive,2007 hasExtendedMediaEntities,2008 hasExtendedMediaEntities,2009 hasExtendedMediaEntities,2010 hasExtendedMediaEntities,2011 hasExtendedMediaEntities,2012 hasExtendedMediaEntities,2013 hasExtendedMediaEntities,2014 hasExtendedMediaEntities,2015 hasExtendedMediaEntities,2016 hasExtendedMediaEntities,2007 hasHashtagEntities,2008 hasHashtagEntities,2009 hasHashtagEntities,2010 hasHashtagEntities,2011 hasHashtagEntities,2012 hasHashtagEntities,2013 hasHashtagEntities,2014 hasHashtagEntities,2015 hasHashtagEntities,2016 hasHashtagEntities,2007 hasMediaEntities,2008 hasMediaEntities,2009 hasMediaEntities,2010 hasMediaEntities,2011 hasMediaEntities,2012 hasMediaEntities,2013 hasMediaEntities,2014 hasMediaEntities,2015 hasMediaEntities,2016 hasMediaEntities,2007 hasMentionEntities,2008 hasMentionEntities,2009 hasMentionEntities,2010 hasMentionEntities,2011 hasMentionEntities,2012 hasMentionEntities,2013 hasMentionEntities,2014 hasMentionEntities,2015 hasMentionEntities,2016 hasMentionEntities,2007 hasUrlEntities,2008 hasUrlEntities,2009 hasUrlEntities,2010 hasUrlEntities,2011 hasUrlEntities,2012 hasUrlEntities,2013 hasUrlEntities,2014 hasUrlEntities,2015 hasUrlEntities,2016 hasUrlEntities
Google,1,20536157,0,0,0,0,0,0,0,0,1696,1519,0,0,0,0,0,0,0,0,203071,144049,0,0,0,0,0,0,0,0,275750,112341,0,0,0,0,0,0,0,0,1194,1240,0,0,0,0,0,0,0,0,132,96,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417,407,0,0,0,0,0,0,0,0,380,317,0,0,0,0,0,0,0,0,417,407,0,0,0,0,0,0,0,0,1286,1348,0,0,0,0,0,0,0,0,1042,697
St. Jude Children's Research Hospital,35,9624042,0,0,0,0,0,0,0,1772,1189,270,0,0,0,0,0,0,0,66429,59797,25313,0,0,0,0,0,0,0,99903,60733,61217,0,0,0,0,0,0,0,1057,474,72,0,0,0,0,0,0,0,276,193,33,0,0,0,0,0,0,0,0,71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,387,118,0,0,0,0,0,0,0,495,399,98,0,0,0,0,0,0,0,259,387,118,0,0,0,0,0,0,0,1514,849,155,0,0,0,0,0,0,0,442,521,133
Salesforce.com,25,2813981915,0,0,0,0,0,0,0,40,199,59,0,0,0,0,0,0,0,98,790,229,0,0,0,0,0,0,0,160,10482,1507,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,25,100,40,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,31,0,0,0,0,0,0,0,34,175,37,0,0,0,0,0,0,0,5,19,31,0,0,0,0,0,0,0,27,146,45,0,0,0,0,0,0,0,33,186,55
Mattel,74,98458823,0,0,0,0,0,0,460,769,1450,569,0,0,0,0,0,0,218,629,1417,1021,0,0,0,0,0,0,440,1077,936,1858,0,0,0,0,0,0,357,704,1382,548,0,0,0,0,0,0,18,14,11,13,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,18,33,7,0,0,0,0,0,0,69,34,37,12,0,0,0,0,0,0,34,18,33,7,0,0,0,0,0,0,387,676,1370,555,0,0,0,0,0,0,149,294,305,105
Monsanto,102,10742132,0,0,0,0,0,0,0,332,2299,570,0,0,0,0,0,0,0,703,11045,6053,0,0,0,0,0,0,0,3396,19917,13196,0,0,0,0,0,0,0,26,448,39,0,0,0,0,0,0,0,70,198,17,0,0,0,0,0,0,0,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,587,107,0,0,0,0,0,0,0,177,777,234,0,0,0,0,0,0,0,68,587,107,0,0,0,0,0,0,0,255,1451,130,0,0,0,0,0,0,0,198,1456,404
Darden Restaurants,90,372854615,0,0,0,0,37,22,305,1242,551,285,0,0,0,0,0,5,157,1232,927,850,0,0,0,0,24,39,597,8754,1548,429,0,0,0,0,4,3,60,220,23,5,0,0,0,0,5,3,59,191,40,10,0,0,0,0,0,0,0,0,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,427,304,250,0,0,0,0,20,12,161,756,367,194,0,0,0,0,0,0,49,427,304,250,0,0,0,0,22,10,236,858,398,208,0,0,0,0,25,16,212,628,270,157
Men's Wearhouse,48,68464500,0,0,0,0,0,0,0,0,1592,1649,0,0,0,0,0,0,0,0,2181,10879,0,0,0,0,0,0,0,0,890,7007,0,0,0,0,0,0,0,0,1422,1481,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,129,0,0,0,0,0,0,0,0,124,165,0,0,0,0,0,0,0,0,131,129,0,0,0,0,0,0,0,0,1394,1513,0,0,0,0,0,0,0,0,195,177
MITRE,99,25681997,0,0,82,114,91,81,137,552,837,264,0,0,1,15,21,13,44,226,994,446,0,0,5,68,85,36,443,2625,2461,1176,0,0,0,0,0,1,13,24,34,2,0,0,0,0,0,0,39,223,330,109,0,0,0,0,0,0,0,0,20,28,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,92,167,57,0,0,0,0,0,3,76,389,636,206,0,0,0,0,0,0,6,92,167,57,0,0,0,0,0,4,74,436,608,191,0,0,0,0,38,76,102,370,496,181
Cisco,84,72310385,0,0,0,0,0,0,942,704,713,484,0,0,0,0,0,0,23,14,58,42,0,0,0,0,0,0,75,25,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,942,704,713,484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,942,704,713,484
Kiewit Corporation,124,388325606,0,0,0,0,74,56,285,448,512,154,0,0,0,0,0,15,124,426,1071,493,0,0,0,0,0,43,421,782,1047,432,0,0,0,0,0,2,2,5,12,1,0,0,0,0,0,2,69,191,203,88,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,96,190,277,107,0,0,0,0,0,18,126,261,249,70,0,0,0,0,0,5,96,190,277,107,0,0,0,0,0,36,199,345,323,102,0,0,0,0,74,35,131,153,193,58
