Company Name,fbId,fbPhotoId,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 commentsCount,2008 commentsCount,2009 commentsCount,2010 commentsCount,2011 commentsCount,2012 commentsCount,2013 commentsCount,2014 commentsCount,2015 commentsCount,2016 commentsCount,2007 likesCount,2008 likesCount,2009 likesCount,2010 likesCount,2011 likesCount,2012 likesCount,2013 likesCount,2014 likesCount,2015 likesCount,2016 likesCount,2007 reactionsCount,2008 reactionsCount,2009 reactionsCount,2010 reactionsCount,2011 reactionsCount,2012 reactionsCount,2013 reactionsCount,2014 reactionsCount,2015 reactionsCount,2016 reactionsCount,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCaption,2008 hasCaption,2009 hasCaption,2010 hasCaption,2011 hasCaption,2012 hasCaption,2013 hasCaption,2014 hasCaption,2015 hasCaption,2016 hasCaption,2007 hasEvent,2008 hasEvent,2009 hasEvent,2010 hasEvent,2011 hasEvent,2012 hasEvent,2013 hasEvent,2014 hasEvent,2015 hasEvent,2016 hasEvent,2007 updatedLater,2008 updatedLater,2009 updatedLater,2010 updatedLater,2011 updatedLater,2012 updatedLater,2013 updatedLater,2014 updatedLater,2015 updatedLater,2016 updatedLater
Monsanto,44495818682,158519,0,0,190,71,2,1,9,94,203,49,0,0,942,1410,210,571,1136,7506,10214,1038,0,0,262,289,95,108,1585,16916,32125,6562,0,0,267,341,95,108,1585,16936,32197,7236,0,0,0,0,0,0,0,0,1,0,0,0,78,7,2,0,7,64,159,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,50,114,19
Men's Wearhouse,199928852452,83739,0,0,0,9,110,301,387,425,268,105,0,0,0,44,77,6669,21895,2823,3021,1157,0,0,0,73,475,111287,450304,45653,130202,108185,0,0,0,73,475,111287,450309,45654,130204,112367,0,0,0,0,0,0,0,0,10,0,0,0,0,6,83,285,380,352,207,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,94,245,101,14
MITRE,151373044800,155139,0,0,125,239,56,437,467,280,295,15,0,0,149,548,218,943,404,110,312,54,0,0,373,596,247,3334,6094,4536,2799,175,0,0,373,596,247,3334,6094,4536,2799,176,0,0,0,0,0,25,46,0,6,0,0,0,87,111,12,363,400,216,280,15,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,28,119,119,101,9
Cisco,134134190357,117696,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Kiewit Corporation,210762462323361,185951,0,0,0,0,0,35,142,171,175,49,0,0,0,0,0,132,432,458,452,141,0,0,0,0,0,2333,10481,12048,13836,5633,0,0,0,0,0,2333,10481,12048,13836,5689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,93,100,114,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,117,135,34,8
Publix Super Markets,209968985766607,107501,0,0,0,0,0,193,401,438,328,132,0,0,0,0,0,2537,4276,6112,2729,712,0,0,0,0,0,5764,14702,23020,15056,5695,0,0,0,0,0,5765,14702,23020,15058,5921,0,0,0,0,0,0,39,19,20,7,0,0,0,0,0,167,356,373,270,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,301,183,155,93
Vanderbilt University,99104920858,170946,0,0,48,4,16,149,182,107,99,47,0,0,2,0,36,1154,1356,1825,1522,881,0,0,21,30,211,26820,37767,48951,39218,15249,0,0,21,30,211,26820,37767,48951,39218,15640,0,0,0,0,0,13,0,0,24,0,0,0,0,3,16,120,180,104,77,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,108,44,32,19
Allianz Life Insurance,293573224082477,81022,0,0,0,0,0,18,117,168,185,49,0,0,0,0,0,1,30,61,34,26,0,0,0,0,0,37,448,793,849,407,0,0,0,0,0,37,448,793,849,415,0,0,0,0,0,0,5,0,7,11,0,0,0,0,0,8,105,89,67,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,77,111,162,34
Starbucks,22092443056,104908,0,1,77,33,152,176,92,121,110,10,0,758,16747,25186,87481,85281,43943,24693,44086,9778,0,4239,60942,217964,1160276,2292764,3752914,1932556,2689770,568675,0,4242,60942,217965,1160285,2292770,3752939,1932611,2690014,574647,0,0,0,0,0,107,11,17,0,0,0,0,58,33,121,168,88,117,110,10,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,13,27,14,2,0
Kimpton Hotels & Restaurants,51530158577,36758,0,0,133,164,114,170,373,289,254,59,0,0,33,91,237,1483,1937,2261,1566,634,0,0,86,288,847,7456,17826,21177,21712,8322,0,0,86,288,847,7456,17826,21177,21713,8562,0,0,0,0,28,5,35,0,1,0,0,0,85,110,45,157,355,164,115,27,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,74,211,217,175,44
