companyString,date,twitteruserid,id,count(*),favoriteCount,retweetCount,isReply,isRetweet,isStatusQuote,hasPlace,hasCoords,possiblySensitive,hasExtendedMediaEntities,hasHashtagEntities,hasMediaEntities,hasMentionEntities,hasUrlEntities
Salesforce.com,2015,25,2813981915,199,790,10482,1,100,11,0,0,0,19,175,19,146,186
Salesforce.com,2016,25,2813981915,59,229,1507,0,40,2,0,0,0,31,37,31,45,55
Devon Energy,2016,26,21628891,13,6,24,0,0,0,0,0,0,9,0,9,0,6
PCL Construction Enterprises,2012,27,128032570,164,24,259,41,25,0,0,0,0,20,75,20,127,89
PCL Construction Enterprises,2013,27,128032570,579,192,956,140,123,0,0,0,0,188,270,188,468,245
PCL Construction Enterprises,2014,27,128032570,708,939,2349,79,268,0,0,0,0,266,322,266,524,321
PCL Construction Enterprises,2015,27,128032570,1327,2158,4319,193,651,52,0,0,0,665,606,665,1142,462
PCL Construction Enterprises,2016,27,128032570,449,1159,2839,40,250,31,0,0,0,261,232,261,352,169
Bingham McCutchen,2011,28,51201934,41,1,13,2,2,0,0,0,0,0,9,0,9,40
Bingham McCutchen,2012,28,51201934,118,4,70,7,1,0,0,0,0,0,64,0,21,92
Bingham McCutchen,2013,28,51201934,254,20,188,11,18,0,0,0,0,0,91,0,74,194
Bingham McCutchen,2014,28,51201934,356,91,456,4,43,0,0,0,0,7,70,7,190,297
Scottrade,2015,29,16004376,2100,2937,1635,1150,2,0,0,0,0,102,265,102,1370,1027
Scottrade,2016,29,16004376,1140,2125,691,622,2,0,0,0,0,39,144,39,750,563
Whole Foods Market,2015,30,15131310,6,300,151,0,0,0,0,0,0,6,0,6,0,2
Whole Foods Market,2016,30,15131310,3200,42156,17757,2649,18,5,0,0,0,519,440,519,2705,823
Goldman Sachs,2014,31,253167239,936,11183,14153,4,189,0,0,0,0,284,600,284,682,626
Goldman Sachs,2015,31,253167239,1621,45730,41416,2,224,11,0,0,0,712,1263,712,1070,1192
Goldman Sachs,2016,31,253167239,666,21286,16637,1,129,6,0,0,0,319,526,319,399,509
Nugget Market,2010,32,71633425,394,4,74,38,4,0,0,0,0,0,8,0,68,1
Nugget Market,2011,32,71633425,587,11,246,156,17,0,0,0,0,6,73,6,316,119
Nugget Market,2012,32,71633425,354,15,119,132,18,0,0,0,0,2,34,2,185,181
Nugget Market,2013,32,71633425,162,23,38,55,3,0,0,0,0,0,20,0,64,97
Nugget Market,2014,32,71633425,149,71,52,32,0,0,0,0,0,4,32,4,54,100
Nugget Market,2015,32,71633425,524,376,229,64,50,7,0,0,0,326,293,326,193,370
Nugget Market,2016,32,71633425,508,436,282,67,77,4,0,0,0,382,392,382,201,389
Millennium: The Takeda Oncology Company,2013,33,321974233,1409,320,6393,159,17,0,0,0,0,212,784,212,1086,826
