companyString,date,fbId,fbPhotoId,count(*),commentsCount,likesCount,reactionsCount,hasPlace,hasCaption,hasEvent,updatedLater
Google,2010,104958162837,521,217,6442,40591,40597,0,118,0,6
SAS,2014,140344030787,1155,215,741,23069,23069,107,19,0,22
Adobe,2011,305115773870,67708,214,337,2574,2574,16,172,0,19
Novo Nordisk,2014,105548031768,71781,213,303,84121,84122,19,125,0,76
Nugget Market,2011,260624001193,57209,213,328,994,994,0,189,0,16
Intel,2011,22707976849,74699,213,12378,72949,72992,0,109,0,8
Salesforce.com,2010,5634829153,54475,211,75,363,363,0,64,0,1
Sherwin-Williams,2015,309180132920,171041,211,6574,211912,211918,11,119,0,97
Arkansas Children's Hospital,2011,112657538333,146311,211,928,6906,6906,0,200,0,11
Children's Healthcare of Atlanta,2012,356527358185,77312,210,1553,30805,30805,11,171,0,62
Discovery Communications,2015,153549641890,181568,208,234,1386,1386,79,120,0,62
Booz Allen Hamilton,2010,115188672790,110455,207,26,178,178,0,128,0,5
USAA,2011,161179599992,42884,206,87,164,166,0,7,0,1
Monsanto,2015,44495818682,158213,203,10214,32125,32197,1,159,0,114
SVB Financial Group,2012,17979232866,64332,202,52,858,858,108,118,0,36
Scripps Health,2013,12150039095,84119,201,588,10874,10874,0,199,0,126
Autodesk,2014,74463019717,81300,200,15,431,431,60,49,0,110
Sherwin-Williams,2011,309180132920,172011,198,1604,2774,2774,0,173,0,10
PricewaterhouseCoopers,2014,232561027513,75895,198,80,3430,3430,39,161,0,19
Sheetz,2011,21120170500,184438,197,828,3057,3057,0,76,0,11
GoDaddy.com,2013,8749090685,119868,196,4687,57646,57646,6,165,0,67
Build-A-Bear Workshop,2015,8783725165,93972,195,6002,102798,102880,16,161,0,110
CarMax,2011,58226901193,118272,195,714,1339,1339,0,170,0,10
Zappos.com,2008,7172307686,23368,194,26,20,20,0,40,0,189
Ernst & Young,2015,195665063800329,86131,194,249,16571,16571,58,142,0,25
QuikTrip,2014,5890187327,96587,194,8525,141458,141482,0,170,0,116
Publix Super Markets,2012,209968985766607,108800,193,2537,5764,5765,0,167,0,164
USAA,2014,161179599992,42420,191,230,2442,2444,0,184,0,118
Monsanto,2009,44495818682,158593,190,942,262,267,0,78,0,1
American Express,2012,6185812851,88167,190,12547,273308,273309,11,167,0,46
Mayo Clinic,2012,7673082516,103497,190,8625,201303,201303,8,123,0,47
Boston Consulting Group,2015,24961338115,808,189,294,12305,12305,0,171,0,50
Winchester Hospital,2012,107079996018373,157842,188,182,1363,1363,0,65,0,46
Mars,2015,211095382256023,180631,186,664,16303,16308,13,110,0,105
Allianz Life Insurance,2015,293573224082477,80552,185,34,849,849,7,67,0,162
American Express,2016,6185812851,86468,185,1223,6742,6907,0,173,0,17
Texas Instruments,2011,234443101357,170127,185,89,1226,1226,0,164,0,4
Ultimate Software,2014,29660886831,49847,183,336,8243,8243,19,163,0,99
General Mills,2013,163903596981363,95813,183,266,1996,1996,4,180,0,144
Vanderbilt University,2013,99104920858,170599,182,1356,37767,37767,0,180,0,108
PCL Construction Enterprises,2014,109150299248234,55304,182,189,3613,3613,0,116,0,119
Methodist Hospital System,2013,113508065350010,81912,181,8,151,151,151,17,0,8
CarMax,2010,58226901193,118467,181,390,682,682,0,178,0,18
Arkansas Children's Hospital,2016,112657538333,145260,179,751,16489,17232,10,143,0,127
CarMax,2012,58226901193,118093,179,1063,4046,4046,2,167,0,27
GoDaddy.com,2015,8749090685,119557,178,5798,292187,292188,12,172,0,29
Winchester Hospital,2015,107079996018373,157521,176,394,3564,3564,6,161,0,49
Starbucks,2012,22092443056,104470,176,85281,2292764,2292770,107,168,0,13
Umpqua Bank,2015,136874746358544,97764,175,823,5728,5728,0,50,0,49
Kiewit Corporation,2015,210762462323361,185478,175,452,13836,13836,0,114,0,34
Genentech,2015,146718898672043,97139,175,30,767,767,22,141,0,67
Scripps Health,2014,12150039095,83945,174,381,8930,8930,40,172,0,81
The Everett Clinic,2016,61452139395,111733,174,112,1359,1391,11,78,0,107
FedEx,2012,150993094945648,160112,174,7827,61646,61646,4,165,0,6
Container Store,2016,59375573322,45030,172,2023,87010,87792,0,168,0,97
Umpqua Bank,2013,136874746358544,98081,171,117,1908,1908,9,128,0,33
Sheetz,2012,21120170500,184282,171,12398,164766,164768,0,148,0,90
Kiewit Corporation,2014,210762462323361,185653,171,458,12048,12048,0,100,0,135
SRA International,2011,45726451297,172596,170,46,66,66,6,32,0,6
Kimpton Hotels & Restaurants,2012,51530158577,37733,170,1483,7456,7456,5,157,0,74
Scripps Health,2015,12150039095,83775,170,482,14340,14340,15,150,0,73
Scottrade,2015,15601935371,55701,169,1662,37004,37004,0,168,0,28
PricewaterhouseCoopers,2013,232561027513,76093,168,151,4038,4038,47,136,0,17
FedEx,2011,150993094945648,160286,168,1331,5634,5634,0,32,0,0
Allianz Life Insurance,2014,293573224082477,80737,168,61,793,793,0,89,0,111
Nugget Market,2012,260624001193,57041,168,295,1626,1626,0,155,0,52
Robert W. Baird,2012,148731991811588,44862,167,8,180,180,137,54,0,13
J. M. Smucker,2015,117266245005679,149379,167,14753,383618,383622,0,167,0,59
Microsoft,2014,9298666412,106135,166,454,7299,7299,22,111,0,59
National Instruments,2013,19822934020,73116,166,574,9452,9452,20,151,0,101
Arkansas Children's Hospital,2013,112657538333,146018,166,3373,48113,48113,2,146,0,118
Kimpton Hotels & Restaurants,2010,51530158577,38017,164,91,288,288,0,110,0,3
Booz Allen Hamilton,2015,115188672790,109770,163,113,5824,5824,0,148,0,80
Microsoft,2012,9298666412,106797,163,1471,14002,14002,8,123,0,74
Ernst & Young,2016,195665063800329,85969,162,118,5903,5951,13,132,0,19
GoDaddy.com,2012,8749090685,120060,162,1841,13246,13246,3,144,0,36
PricewaterhouseCoopers,2012,232561027513,76261,162,160,2380,2380,10,154,0,8
Nugget Market,2013,260624001193,56880,161,189,1507,1507,0,133,0,125
Brocade Communications Systems,2014,111983056070,146925,161,152,3134,3134,28,112,0,82
American Fidelity Assurance,2014,333011163569,75370,161,54,1872,1872,22,104,0,54
Baptist Health South Florida,2010,127900310965,71306,160,52,257,257,0,65,0,0
Recreational Equipment (REI),2011,9062006483,12891,160,1646,5272,5272,0,135,0,2
LifeBridge Health,2011,193538150681786,164075,159,19,122,122,0,99,0,0
Whole Foods Market,2015,525560857527063,56385,159,208,4527,4527,1,152,0,37
SVB Financial Group,2014,17979232866,63818,159,49,1657,1657,60,88,0,34
FactSet Research Systems,2013,47276510407,105191,157,155,7056,7056,44,133,0,29
PricewaterhouseCoopers,2015,232561027513,75739,156,113,7566,7566,0,155,0,21
Credit Acceptance,2012,168678439842388,179683,156,42,572,572,33,95,0,30
Teach For America,2012,8433834471,99983,156,1031,24395,24395,0,131,0,61
Southern Ohio Medical Center,2016,220886824589689,58294,155,41,634,648,0,71,0,6
Scottrade,2014,15601935371,55870,154,1715,16205,16205,0,146,0,84
Build-A-Bear Workshop,2010,8783725165,95449,154,6822,14620,14626,0,132,0,1
Mattel,2015,148757037599,109023,153,746,8159,8161,0,56,0,138
CarMax,2013,58226901193,117940,153,2389,12529,12529,29,150,0,62
QuikTrip,2013,5890187327,96781,152,17922,121070,121070,0,140,0,102
J. M. Smucker,2012,117266245005679,150127,152,3475,20901,20901,0,141,0,47
Starbucks,2011,22092443056,104646,152,87481,1160276,1160285,0,121,0,3
Hyatt Hotels,2014,26114710769,185025,149,164,9031,9038,1,121,0,88
Vanderbilt University,2012,99104920858,170781,149,1154,26820,26820,13,120,0,17
DreamWorks Animation SKG,2013,104770457523,36021,148,18013,645543,645547,0,144,0,74
Hyatt Hotels,2015,26114710769,184877,148,127,7114,7119,1,116,0,86
PCL Construction Enterprises,2013,109150299248234,55486,147,242,2734,2734,0,111,0,23
General Mills,2012,163903596981363,95996,145,242,1188,1188,14,132,0,38
Microsoft,2015,9298666412,105991,144,198,3413,3413,27,59,0,5
Sheetz,2016,21120170500,182996,143,10902,178988,183625,0,127,0,109
Sherwin-Williams,2012,309180132920,171868,143,8327,11019,11019,0,131,0,58
Mars,2013,211095382256023,181112,142,1416,20679,20679,0,138,0,105
JM Family Enterprises,2016,215824265320,38314,142,156,2815,2958,0,93,0,10
Kiewit Corporation,2013,210762462323361,185824,142,432,10481,10481,0,93,0,117
FactSet Research Systems,2010,47276510407,105603,142,63,427,427,0,137,0,2
Umpqua Bank,2014,136874746358544,97939,142,311,4534,4534,0,54,0,83
