companyString,date,fbId,fbPageId,count(*),commentsCount,likesCount,reactionsCount,sharesCount,hasCaption,blankMessage,updatedLater,hasParent,hasPlace,hasMessageTags,hasSource,hasTo,postedFromApp,added_photosStory,shared_storyStory,added_videoStory,mobile_status_updateStory,published_storyStory,created_noteStory,wall_postStory,created_eventStory,noTypeStory
Boston Consulting Group,2016,24961338115,2,7,13,335,338,64,0,2,3,2,0,0,2,0,4,3,2,2,0,0,0,0,0,0
SAS,2012,140344030787,3,114,9984,124651,124652,5523,26,19,32,0,2,1,8,1,0,75,25,4,10,0,0,0,0,0
SAS,2013,140344030787,3,59,8055,74023,74023,3102,8,9,11,2,3,0,2,0,0,50,7,0,2,0,0,0,0,0
SAS,2014,140344030787,3,1,4,200,200,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Edward Jones,2009,180423318637979,4,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Edward Jones,2010,180423318637979,4,41,0,124,124,15,22,1,41,0,0,0,1,0,0,2,22,1,16,0,0,0,0,0
Edward Jones,2012,180423318637979,4,101,22,433,433,36,90,33,85,0,0,0,0,0,58,5,10,0,4,53,0,0,29,0
Edward Jones,2013,180423318637979,4,111,22,513,513,146,103,33,100,0,0,0,1,0,67,4,9,0,3,64,0,0,31,0
Edward Jones,2014,180423318637979,4,94,40,1276,1276,628,54,6,73,0,2,2,8,2,36,31,11,8,3,35,0,0,6,0
Edward Jones,2015,180423318637979,4,53,23,1260,1279,590,12,1,41,0,0,2,10,2,1,32,10,10,0,1,0,0,0,0
Edward Jones,2016,180423318637979,4,9,7,282,291,78,1,0,7,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0
NetApp,2009,144947005540685,5,27,2,41,41,0,20,2,26,0,0,0,6,0,2,2,20,0,5,0,0,0,0,0
NetApp,2010,144947005540685,5,28,6,58,58,4,22,5,24,1,0,0,3,0,0,3,23,0,2,0,0,0,0,0
NetApp,2012,144947005540685,5,58,4,144,144,30,34,32,55,17,0,0,2,0,0,3,51,0,4,0,0,0,0,0
NetApp,2013,144947005540685,5,82,5,214,214,32,46,38,77,28,3,1,4,1,0,10,72,0,0,0,0,0,0,0
NetApp,2014,144947005540685,5,52,4,158,158,4,17,33,47,28,0,0,5,0,0,7,45,0,0,0,0,0,0,0
NetApp,2015,144947005540685,5,28,0,27,27,0,1,27,28,25,0,0,1,0,0,2,26,0,0,0,0,0,0,0
NetApp,2016,144947005540685,5,2,0,4,4,0,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Camden Property Trust,2009,128051573873366,6,10,13,46,46,2,10,3,5,0,0,0,4,0,0,1,9,0,0,0,0,0,0,0
Camden Property Trust,2010,128051573873366,6,78,17,193,193,13,78,59,69,0,0,1,0,1,0,1,77,0,0,0,0,0,0,0
Camden Property Trust,2011,128051573873366,6,1,0,5,5,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Camden Property Trust,2012,128051573873366,6,233,55,1185,1185,267,213,179,212,0,0,1,0,1,8,14,205,0,6,8,0,0,0,0
Camden Property Trust,2013,128051573873366,6,230,70,1702,1702,430,200,154,206,0,0,2,2,2,15,23,187,0,5,15,0,0,0,0
Camden Property Trust,2014,128051573873366,6,326,36,1595,1595,511,261,146,300,3,0,39,4,39,0,61,264,0,1,0,0,0,0,0
